ID;Title;Artist;Year;Duo;Explicit;"Date Added";Styles;Languages
52432;"Shape of You";"Ed Sheeran";2017;0;0;2017-01-20;Pop;English
48052;"Uptown Funk";"Bruno Mars";2014;0;0;2015-01-12;Funk,Pop,Electro;English
51228;"Can't Stop The Feeling";"Justin Timberlake";2016;0;0;2016-06-07;"Pop,TV & movie soundtrack";English
51837;Human;"Rag'n'Bone Man";2016;0;0;2016-11-14;Pop;English
49375;"Tennessee Whiskey";"Chris Stapleton";2015;0;0;2015-07-21;Blues,Rock,Country;English
51925;"24K Magic";"Bruno Mars";2016;0;0;2016-10-21;Funk,80s,R&B,Pop,Disco;English
5037;"House Of The Rising Sun";Traditional;1700;0;0;2008-06-26;Traditionnal,Blues,Rock;English
51992;"Je m'en vais";Vianney;2016;0;0;2016-12-08;"French pop";French
14609;"Don't Stop Believing";Journey;1981;0;0;2008-01-22;Rock,Pop;English
45000;"All Of Me";"John Legend";2013;0;0;2013-10-08;Soul,Pop;English
50022;"On écrit sur les murs";"Kids United";2015;0;0;2015-12-30;"French pop,Kids";French
6534;"Sweet Caroline";"Neil Diamond";1969;0;0;2011-05-31;Pop;English
51926;"Million Reasons";"Lady Gaga";2016;0;0;2016-10-28;Pop;English
52277;"How Far I'll Go";Moana;2016;0;0;2017-02-11;"TV & movie soundtrack,Pop";English
12617;"Bohemian Rhapsody";Queen;1975;0;0;2008-07-21;Rock;English
5065;"Amazing Grace";Traditional;1831;0;0;2008-06-25;Traditionnal,Blues;English
50948;"Love on the Brain";Rihanna;2016;0;1;2016-04-15;Pop,Soul;English
51632;"Blue Ain't Your Color";"Keith Urban";2016;0;0;2016-10-11;Country;English
48087;"Girl Crush";"Little Big Town";2014;0;0;2014-12-22;"Country,Love,Soft rock";English
5062;"La Bamba";"Mexican Traditional";1600;0;0;2008-06-25;Latin,Traditionnal;Spanish
51691;Closer;"The Chainsmokers";2016;1;0;2016-10-02;Pop,Electro,Duet;English
36600;"Can't Help Falling In Love";"Elvis Presley";1961;0;0;2011-05-30;Pop,Soul,Oldies,Love;English
47210;"Thinking Out Loud";"Ed Sheeran";2014;0;0;2014-09-02;Pop,Folk;English
51331;"Encore un soir";"Céline Dion";2016;0;0;2016-07-21;"French pop";French
5476;"Ring Of Fire";"Johnny Cash";1963;0;0;2012-01-04;"Country,Rock 'n Roll";English
50052;Hello;Adele;2015;0;0;2016-05-13;Pop;English
5103;"My Way";"Frank Sinatra";1969;0;0;2007-05-29;Oldies;English
52435;"Castle on the Hill";"Ed Sheeran";2017;0;0;2017-02-14;Pop,Rock;English
51716;"L'oiseau et l'enfant";"Kids United";2016;0;0;2016-10-18;"French pop,Kids";French
51857;"Say You Won't Let Go";"James Arthur";2016;0;0;2016-11-23;Pop;English
6126;Crazy;"Patsy Cline";1961;0;0;2007-05-04;Jazz,Pop;English
7125;"Friends In Low Places";"Garth Brooks";1990;0;0;2007-05-31;Country;English
11426;"Summer Nights";Grease;1978;1;0;2008-07-17;"TV & movie soundtrack,Rock 'n Roll,Pop,Oldies,Duet";English
52485;"City of Stars";"La La Land";2016;1;0;2017-02-01;"TV & movie soundtrack,Musical,Duet";English
6656;"Folsom Prison Blues";"Johnny Cash";1957;0;0;2007-05-04;Country;English
35287;"Rolling In The Deep";Adele;2010;0;0;2011-09-05;Pop,Soul;English
51719;"On dirait";Amir;2016;0;0;2016-10-11;"French pop,Electro";French
9066;"My Girl";"The Temptations";1965;0;0;2007-06-18;Soul,Pop,Oldies;English
45871;"Libérée, délivrée";Frozen;2013;0;0;2015-04-08;"TV & movie soundtrack,French pop";French
45873;"Let It Go";"Idina Menzel";2013;0;0;2015-04-08;"TV & movie soundtrack,Pop";English
5921;"I Will Survive";"Gloria Gaynor";1979;0;0;2007-05-04;Disco;English
50191;"When We Were Young";Adele;2015;0;0;2016-06-05;Pop,Soul;English
5942;"My Heart Will Go On";"Céline Dion";1997;0;0;2007-05-04;"TV & movie soundtrack,Love,Pop";English
21608;Hallelujah;"Alexandra Burke";2008;0;0;2011-05-30;Pop;English